booking_id,passenger_id,flight_id,booking_date,status,seat_number,payment_count,valid_payment_amount,missing_payment_amounts,payment_status_issue,airline,source,destination,departure_time,arrival_time,duration,duration_minutes,route,departure_date,arrival_date,departure_hour,arrival_hour,is_overnight,flight_match_status,passport_hash,emergency_contact_name_masked,emergency_contact_phone_masked
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,15B,1.0,0.0,1.0,Missing Payment Amount,Air India,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,01:48:00,108.0,BOM → CCU,2026-04-20,2026-04-21,23.0,1.0,True,Matched,9b8bc958eb99de8fb7b16058960d026a06b3e7d596f3a18533a6dc3e4ff6331d,A***a,**********9414
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,22C,1.0,2115.18,0.0,No Issue,Air India,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,04:38:00,278.0,HYD → BOM,2026-04-20,2026-04-21,20.0,1.0,True,Matched,2c38e171d27dcd125c6913f4d1c146a8da98219f63f72633e64e7bc3f19ef100,N***i,**********6153
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,28B,4.0,23702.39,1.0,Missing Payment Amount,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,02:28:00,148.0,BOM → DEL,2026-04-20,2026-04-21,22.0,1.0,True,Matched,e6d22eaeb25269dd78b2086a7fbc88ea5604221f886dccec006c8c8cd13d8487,H***l,**********6860
B1013,P1613,SJ001,2025-07-20 11:37:36.951,CONFIRMED,26E,1.0,1176.33,0.0,No Issue,SpiceJet,BOM,MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,04:47:00,287.0,BOM → MAA,2026-04-20,2026-04-21,20.0,1.0,True,Matched,fab85083e9f77799da2810373757ab2bcaba789e60580d046078a73a50453c99,N***e,**********6561
B1014,P1411,SJ172,2025-09-15 11:37:36.951,PENDING,21E,0.0,0.0,0.0,No Issue,SpiceJet,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,03:16:00,196.0,CCU → DEL,2026-04-20,2026-04-21,21.0,1.0,True,Matched,ce79ecb116713ff5346d04d528e0b69c111ddb29f89f71c7489847f9def6277f,G***y,**********9979
B1015,P1431,UK094,2025-10-21 11:37:36.951,,6F,2.0,19609.66,0.0,No Issue,Vistara,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,01:45:00,105.0,BOM → CCU,2026-04-20,2026-04-21,23.0,1.0,True,Matched,e80647128945b84453cc832b9d012cca149f24816051350fa337a4774bb9f73b,G***i,**********5012
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,6A,2.0,23800.77,0.0,Cancelled With Payment,Vistara,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,02:21:00,141.0,BOM → CCU,2026-04-20,2026-04-21,22.0,1.0,True,Matched,45ac44b766f544618147856de9f9ccef98e3e4a1cba38f6935f57ff86e03e8ea,G***r,**********0204
B1017,P1158,UK067,2026-04-04 11:37:36.951,CONFIRMED,13B,0.0,0.0,0.0,Confirmed Without Payment,Vistara,BOM,CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,03:26:00,206.0,BOM → CCU,2026-04-20,2026-04-21,21.0,1.0,True,Matched,f27605d14d86e057ee7d1bb667412de210b87865cc6b2b19d6cf9c9030fc6f52,H***a,**********8257
B1018,P1013,6F196,2026-03-25 11:37:36.951,CANCELLED,19B,1.0,2588.63,0.0,Cancelled With Payment,IndiGo,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,01:43:00,103.0,CCU → MAA,2026-04-20,2026-04-21,23.0,0.0,True,Matched,f08afc002842ef6c16197f0905029ce91549bdec0d015e96e30190fc31969a97,C***f,**********0106
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,19A,3.0,18621.0,1.0,Missing Payment Amount,IndiGo,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,02:27:00,147.0,BLR → BOM,2026-04-20,2026-04-21,22.0,0.0,True,Matched,451e03d407510f4369ae3ce78672045ebc6e9a3a6fdee26b568e98bb183b3930,J***n,**********0835
B1020,P1224,SJ112,2025-12-06 11:37:36.951,CONFIRMED,27B,1.0,8150.35,0.0,No Issue,SpiceJet,HYD,DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,02:20:00,140.0,HYD → DEL,2026-04-20,2026-04-21,22.0,0.0,True,Matched,548bb24f886551bdb139f2dd77f8d6f472d18d3fd99a207204fc30e6ad2c5a90,F***n,**********6249
B1021,P1504,6F190,2025-12-07 11:37:36.951,CANCELLED,4E,1.0,6949.93,0.0,Cancelled With Payment,IndiGo,DEL,MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,04:34:00,274.0,DEL → MAA,2026-04-20,2026-04-21,20.0,0.0,True,Matched,a81b91b550af858b5813b47037200dedd33d200c4448b11e296e408de35de8df,J***a,**********0161
B1022,P1072,AI080,2026-03-25 11:37:36.951,CONFIRMED,16F,0.0,0.0,0.0,Confirmed Without Payment,Air India,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,01:32:00,92.0,BOM → HYD,2026-04-20,2026-04-21,23.0,0.0,True,Matched,d10b00994471367e9ef55092ad4fdad4c157e38636d7981e73d0271f0f4b9562,E***h,**********7221
B1023,P1248,6F213,2026-02-03 11:37:36.951,PENDING,24B,1.0,13057.27,0.0,No Issue,IndiGo,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,03:27:00,207.0,BLR → BOM,2026-04-20,2026-04-21,21.0,0.0,True,Matched,baf43ee0438d2412221049ea57b7cc8ae12e72fb43e4330b1dac75ca683c41b0,V***n,**********9325
B1024,P1510,AI115,2025-06-21 11:37:36.951,PENDING,30F,1.0,4857.79,0.0,No Issue,Air India,MAA,BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,04:49:00,289.0,MAA → BLR,2026-04-20,2026-04-21,19.0,0.0,True,Matched,93992d112475cbf9a55b714ec62eeec9e22502e58494767bc38df2389738e843,F***l,**********8072
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,1B,3.0,36122.96,0.0,No Issue,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,04:00:00,240.0,CCU → DEL,2026-04-20,2026-04-21,20.0,0.0,True,Matched,1012f26ddc18bc3edf4a8ec464d0c27061f88c4b6af0e1a474b1b4b7e1a1798c,H***i,**********2966
B1026,P1215,AI058,2025-06-27 11:37:36.951,CONFIRMED,32C,2.0,13204.36,0.0,No Issue,Air India,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,01:38:00,98.0,BOM → CCU,2026-04-20,2026-04-21,22.0,0.0,True,Matched,56b08f0dbe81e0fd17a2f4fcf51d07e3893bf17d4a3de4b43cf344fcd3932fae,A***y,**********6345
B1027,P1972,UK036,2025-07-25 11:37:36.951,CONFIRMED,22A,1.0,7503.17,0.0,No Issue,Vistara,CCU,BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,04:24:00,264.0,CCU → BLR,2026-04-20,2026-04-21,19.0,0.0,True,Matched,5739e14cea5a14e268d82ad903d9cafa002c471187ff90bfaf9eb056abc7e070,J***a,**********0795
B1028,P1601,SJ239,2025-05-25 11:37:36.951,CANCELLED,26E,0.0,0.0,0.0,No Issue,SpiceJet,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,01:46:00,106.0,BOM → CCU,2026-04-20,2026-04-21,22.0,0.0,True,Matched,807a50e4d654f4cea485c6ebd7274f050195fed06f879b3f975a2ea1102d1213,K***t,**********0757
B1029,P1540,6F025,2025-06-06 11:37:36.951,CANCELLED,19C,0.0,0.0,0.0,No Issue,IndiGo,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,00:55:00,55.0,BLR → BOM,2026-04-20,2026-04-20,23.0,23.0,False,Matched,47899709761c35e8690311381c256b2ace1142579dbfbabbd5611fe4847d60b4,S***e,**********4016
B1030,P1946,6F236,2026-03-18 11:37:36.951,CANCELLED,21E,0.0,0.0,0.0,No Issue,IndiGo,BOM,DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,03:19:00,199.0,BOM → DEL,2026-04-20,2026-04-20,20.0,23.0,False,Matched,d307a6378262c7c97a0e60c8f2f05e982b98a6d02bf77945a704c32d11bcac24,E***g,**********1429
B1031,P1816,AI060,2025-11-16 11:37:36.951,CANCELLED,1E,1.0,7056.42,0.0,Cancelled With Payment,Air India,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,01:53:00,113.0,DEL → HYD,2026-04-20,2026-04-20,21.0,23.0,False,Matched,62954bcb007746dbaec8db12bda3bb7a0172e448d87fb8570bf3aea1f29eb383,Y***e,**********3949
B1032,P1938,UK021,2025-09-03 11:37:36.951,CANCELLED,18E,0.0,0.0,0.0,No Issue,Vistara,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,01:50:00,110.0,HYD → MAA,2026-04-20,2026-04-20,22.0,23.0,False,Matched,718575c7b7ffd0a23741e5ffd212fb012588f8db1b7b54f2e002d3792df04927,T***n,**********8599
B1033,P1987,UK026,2025-05-06 11:37:36.951,,19A,3.0,17076.39,1.0,Missing Payment Amount,Vistara,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,02:06:00,126.0,HYD → MAA,2026-04-20,2026-04-20,21.0,23.0,False,Matched,a52d3cb89e597a683b8e4923f892a18b9cc227fa05208424f920f164b5149ef6,A***a,**********4041
B1034,P1219,SJ179,2025-12-31 11:37:36.951,CONFIRMED,22F,0.0,0.0,0.0,Confirmed Without Payment,SpiceJet,DEL,HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,03:30:00,210.0,DEL → HYD,2026-04-20,2026-04-20,20.0,23.0,False,Matched,151e90282739e28aa3bcac20bd2620783b9466e601c1ebd3a504fdd82c37fab6,E***a,**********0606
B1035,P1839,6F251,2025-08-21 11:37:36.951,PENDING,11D,0.0,0.0,0.0,No Issue,UNKNOWN,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,00:41:00,41.0,DEL → BLR,2026-04-20,2026-04-20,22.0,23.0,False,Matched,b20f5000d5f6615e42319e1f83503e20184791399b293b54e72a70c98fe7cccb,V***y,**********1517
B1036,P1726,SJ149,2025-11-24 11:37:36.951,PENDING,5B,1.0,5144.89,0.0,No Issue,SpiceJet,HYD,MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,02:00:00.298000,120.0,HYD → MAA,2026-04-20,2026-04-20,21.0,23.0,False,Matched,138ba87501deb785f7f1ca7bf1f15783178fc5b5d828e5f569b9aa7c8bf32d58,D***n,**********3647
B1037,P1220,AI188,2026-03-20 11:37:36.951,PENDING,33E,0.0,0.0,0.0,No Issue,Air India,CCU,HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,02:46:00,166.0,CCU → HYD,2026-04-20,2026-04-20,20.0,23.0,False,Matched,f583dd86ac1ab40cb5a19a1a3361bb223d0bfe35d9aef8f50d06436cb0051cf2,A***i,**********5418
B1038,P1388,SJ093,2026-01-01 11:37:36.951,PENDING,12D,0.0,0.0,0.0,No Issue,SpiceJet,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,01:06:00,66.0,BLR → BOM,2026-04-20,2026-04-20,21.0,23.0,False,Matched,2269d969b6195ed518ce51572ce2699f9ff19ba2195a691dc4ecb3eb6a2b62b7,S***y,**********6192
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,11E,3.0,24656.690000000002,0.0,No Issue,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,01:04:00,64.0,HYD → CCU,2026-04-20,2026-04-20,21.0,23.0,False,Matched,f29a77a8a97066be9719ce5f8afac04532cb302ae465eeaa9e72ad183d193d22,S***a,**********9854
B1040,P1646,6F099,2025-08-08 11:37:36.951,CONFIRMED,26B,0.0,0.0,0.0,Confirmed Without Payment,IndiGo,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,00:35:00,35.0,MAA → DEL,2026-04-20,2026-04-20,22.0,22.0,False,Matched,bcd1bf6246a8cf6477aa216c1deb2f96288f371bb92207024ee28f4c3b5758e1,M***r,**********5230
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,25C,2.0,23580.18,0.0,No Issue,Vistara,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,04:08:00,248.0,HYD → BLR,2026-04-20,2026-04-20,18.0,22.0,False,Matched,86e67dbe9d95297aa5cdd7d7430bac23c7c85f7b1094844241d74ea65dd7c047,L***a,**********6035
B1042,P1675,UK200,2025-12-02 11:37:36.951,CANCELLED,24F,1.0,14402.39,0.0,Cancelled With Payment,Vistara,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,01:51:00,111.0,CCU → DEL,2026-04-20,2026-04-20,20.0,22.0,False,Matched,8e2d9b98b2af010a6674cd2be08b1dee592135a6d9f3e13e3d44518d1e531a12,L***y,**********5890
B1043,P1872,6F195,2025-11-22 11:37:36.951,CANCELLED,8E,1.0,8291.6,0.0,Cancelled With Payment,IndiGo,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,00:55:00,55.0,CCU → DEL,2026-04-20,2026-04-20,21.0,22.0,False,Matched,af93a48a3274117cf67cda9e45fa3099ebf7c73e5d88b05f9e7bb825909489a8,A***a,**********1388
B1044,P1282,6F174,2026-04-12 11:37:36.951,PENDING,16C,1.0,1199.88,0.0,No Issue,IndiGo,DEL,HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,00:40:00,40.0,DEL → HYD,2026-04-20,2026-04-20,21.0,22.0,False,Matched,16e174d0fb53c3ef2600c14f80d1b1dbc2b2ea88a664ec0d44404c7f2489a05a,M***k,**********0954
B1045,P1057,SJ214,2026-03-19 11:37:36.951,,18C,3.0,6732.210000000001,1.0,Missing Payment Amount,SpiceJet,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,01:16:00,76.0,BOM → MAA,2026-04-20,2026-04-20,20.0,22.0,False,Matched,fb7a1818d6acdfde779a7d20c0b6a295a36f4307df85ca80e7523565d13b1245,T***i,**********3432
B1046,P1813,UK059,2025-10-14 11:37:36.951,CONFIRMED,2C,2.0,26282.309999999998,0.0,No Issue,Vistara,HYD,MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,01:37:00,97.0,HYD → MAA,2026-04-20,2026-04-20,20.0,22.0,False,Matched,ec8af10a02df2459541944cd23a5bc1c5aef5a9bc6b6bf4f0c9ebbcdbbecf36d,Y***k,**********1874
B1047,P1833,6F151,2025-12-29 11:37:36.951,PENDING,7C,0.0,0.0,0.0,No Issue,IndiGo,CCU,HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,02:20:00,140.0,CCU → HYD,2026-04-20,2026-04-20,19.0,22.0,False,Matched,06fc223a46a46707a35e6a4569ecc688e8b1d80c03429bc85488c65cec015883,G***a,**********4608
B1048,P1536,SJ236,2025-09-19 11:37:36.951,PENDING,18C,0.0,0.0,0.0,No Issue,SpiceJet,MAA,BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,03:59:00,239.0,MAA → BOM,2026-04-20,2026-04-20,18.0,22.0,False,Matched,8ca1865bfad8bc2ffa1453cd4ace62ef09e95e70ee7716c66e2aa2d21bdbb85c,I***a,**********4278
B1049,P1072,SJ153,2025-07-28 11:37:36.951,,3C,0.0,0.0,0.0,No Issue,SpiceJet,DEL,CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,01:23:00,83.0,DEL → CCU,2026-04-20,2026-04-20,20.0,22.0,False,Matched,3da7675b6ee8e5571bc322267b654bd2caf1032cbce05858694bf247b3d08f2c,N***i,**********3067
B1050,P1884,AI220,2026-01-15 11:37:36.951,PENDING,7D,1.0,13350.33,0.0,No Issue,Air India,BOM,DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,01:38:00,98.0,BOM → DEL,2026-04-20,2026-04-20,20.0,21.0,False,Matched,0d72266c43031d8075a9ca2122f0e9b2a82cdf0c31185daa56e2456ab262f4e9,D***n,**********4482
B1051,P1922,6F028,2025-07-05 11:37:36.951,CANCELLED,16A,1.0,10875.08,0.0,Cancelled With Payment,IndiGo,HYD,CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,02:00:00,120.0,HYD → CCU,2026-04-20,2026-04-20,19.0,21.0,False,Matched,720bfb736136a3f49714ae69486aa3516a34fca8fa71c12b03b2a9c1a7c44c4c,L***u,**********6443
B1052,P1128,UK209,2025-12-30 11:37:36.951,CANCELLED,33B,1.0,9827.3,0.0,Cancelled With Payment,UNKNOWN,MAA,BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,02:45:00,165.0,MAA → BLR,2026-04-20,2026-04-20,19.0,21.0,False,Matched,733cfebca1a82851626f27e20efa6e86b139c080846fc19239d822e20136f779,Z***e,**********6326
B1053,P1598,UK216,2026-04-01 11:37:36.951,PENDING,28B,2.0,7702.52,0.0,No Issue,Vistara,MAA,HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,03:14:00,194.0,MAA → HYD,2026-04-20,2026-04-20,18.0,21.0,False,Matched,399a80b00d6a0a5806b1cefc245c3b406657819c79017d6d7fad319c09211dab,I***v,**********5009
B1054,P1841,AI132,2026-04-11 11:37:36.951,CANCELLED,19C,0.0,0.0,0.0,No Issue,Air India,BLR,BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,02:09:00,129.0,BLR → BOM,2026-04-20,2026-04-20,19.0,21.0,False,Matched,92064bfc79f8368f0179b8de82d8781456f621569b8d34f5014231604f2a3dc1,A***k,**********8191
B1055,P1425,6F012,2025-10-14 11:37:36.951,CANCELLED,13F,0.0,0.0,0.0,No Issue,IndiGo,CCU,HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,03:25:00,205.0,CCU → HYD,2026-04-20,2026-04-20,18.0,21.0,False,Matched,08dbe884a6f408988d6490a34f80a501df250aed0c238ee8e4d692b3b693d6ed,I***n,**********7684
B1056,P1947,UK173,2026-03-24 11:37:36.951,CANCELLED,15B,2.0,3173.87,1.0,Missing Payment Amount,Vistara,MAA,BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,04:16:00,256.0,MAA → BLR,2026-04-20,2026-04-20,17.0,21.0,False,Matched,f380fadf17567f8778a48f283ec28410a2d8ef3c35823b648832eb4df71bf780,R***r,**********6381
B1057,P1664,SJ047,2025-08-20 11:37:36.951,CANCELLED,14F,2.0,12211.199999999999,0.0,Cancelled With Payment,SpiceJet,HYD,BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,00:37:00,37.0,HYD → BOM,2026-04-20,2026-04-20,20.0,21.0,False,Matched,a40b7e364b4f13f0557857ca6cc75203dc689c4fa8af12869370a73f5ee484a1,S***l,**********4263
B1058,P1693,SJ043,2025-12-07 11:37:36.951,PENDING,8C,0.0,0.0,0.0,No Issue,UNKNOWN,MAA,DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,02:09:00,129.0,MAA → DEL,2026-04-20,2026-04-20,18.0,21.0,False,Matched,f93fc5b8f41c836b896bf9d7b20c5ffc6bbf0f35a4f18571c04f350279b06663,A***a,**********4081
B1059,P1124,UK140,2026-01-03 11:37:36.951,CONFIRMED,23B,1.0,10839.07,0.0,No Issue,Vistara,MAA,BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,01:23:00,83.0,MAA → BLR,2026-04-20,2026-04-20,19.0,21.0,False,Matched,932065e04863f4c659e279065df5b3b5fc99642c2f6f90291f1326916fa126a7,P***i,**********0433
B1060,P1066,6F086,2025-12-30 11:37:36.951,CONFIRMED,11A,1.0,11681.98,0.0,No Issue,IndiGo,MAA,HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,00:37:00,37.0,MAA → HYD,2026-04-20,2026-04-20,20.0,21.0,False,Matched,05f3d6b7a3517179f6b637c01087312a8eaae27562b862a9f26de0dd2bc6f683,H***a,**********7113
B1061,P1005,6F114,2026-04-05 11:37:36.951,CANCELLED,19C,3.0,31579.800000000003,0.0,Cancelled With Payment,IndiGo,BOM,MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,00:50:00,50.0,BOM → MAA,2026-04-20,2026-04-20,20.0,21.0,False,Matched,0296cf4c371c103a8f75c9777a19d515d8f20157481c61d628027c01bba7d41b,Y***c,**********7530
B1062,P1636,UK153,2025-06-12 11:37:36.951,CANCELLED,15D,0.0,0.0,0.0,No Issue,Vistara,CCU,HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,04:01:00,241.0,CCU → HYD,2026-04-20,2026-04-20,16.0,20.0,False,Matched,cdfa84a9b9646477d516d38ebc6afa6d79aa71c4737459149388ccd94f0feca8,M***h,**********7050
B1063,P1313,6F149,2025-05-19 11:37:36.951,CANCELLED,9A,0.0,0.0,0.0,No Issue,IndiGo,BLR,CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,02:45:00,165.0,BLR → CCU,2026-04-20,2026-04-20,17.0,20.0,False,Matched,26fe229152e764c4f33a03c4ed954509e4866712a76e13c10746934acb1f2dcd,N***a,**********0081
B1064,P1325,UK145,2025-09-14 11:37:36.951,CONFIRMED,24E,1.0,14413.72,0.0,No Issue,Vistara,BOM,HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,02:11:00,131.0,BOM → HYD,2026-04-20,2026-04-20,18.0,20.0,False,Matched,da6bd392194e07308054e475433f6af7458f9e3a631aaeb15a6abcb45deeb01d,A***k,**********2918
B1065,P1564,UK010,2026-03-06 11:37:36.951,CANCELLED,7B,0.0,0.0,0.0,No Issue,Vistara,MAA,HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,02:47:00,167.0,MAA → HYD,2026-04-20,2026-04-20,17.0,20.0,False,Matched,4b8e984326743f031008e8ac68017ce6cd5d936c14192a39ff48ec4a04d632fb,V***l,**********8991
B1066,P1577,SJ003,2025-11-05 11:37:36.951,PENDING,1B,0.0,0.0,0.0,No Issue,SpiceJet,MAA,CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,00:42:00,42.0,MAA → CCU,2026-04-20,2026-04-20,19.0,20.0,False,Matched,3cb2c86e89a96e355b86d03374a383c704f3c626d6ee69c7516433df53760d87,I***l,**********8025
B1067,P1825,SJ160,2025-07-23 11:37:36.951,PENDING,7F,3.0,17433.34,0.0,No Issue,SpiceJet,MAA,BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,00:45:00,45.0,MAA → BLR,2026-04-20,2026-04-20,19.0,20.0,False,Matched,c25bf736040d96af978f325b73e2f2a38cd64416781667c401b9f6c4c1730ec7,D***i,**********9825
B1068,P1505,UK224,2025-11-22 11:37:36.951,PENDING,23A,1.0,5274.94,0.0,No Issue,UNKNOWN,CCU,MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,03:59:00,239.0,CCU → MAA,2026-04-20,2026-04-20,16.0,20.0,False,Matched,4e6c0aada89e3523e1c4cd6c37eda829bbe01cb720cf505c725b4c686c471d84,D***a,**********9882
